Country,Both sexes
Afghanistan,8.5
Albania,3.4
Algeria,1.5
Angola,9.5
Antigua and Barbuda,5
Argentina,6.4
Armenia,3.8
Australia,1
Austria,0.5
Azerbaijan,2.5
Bahamas,32.2
Bahrain,0.2
Bangladesh,2.7
Barbados,11.2
Belarus,3.5
Belgium,1.4
Belize,36.7
Benin,6.3
Bhutan,2
Bolivia (Plurinational State of),8.1
Bosnia and Herzegovina,1.6
Botswana,17.3
Brazil,33.3
Brunei Darussalam,1.3
Bulgaria,1.4
Burkina Faso,9.6
Burundi,6.3
Cabo Verde,12.5
Cambodia,2.5
Cameroon,6.4
Canada,1.8
Central African Republic,22.9
Chad,9.3
Chile,4
China,0.9
Colombia,41.7
Comoros,7.8
Congo,10.3
Costa Rica,12.2
Côte d'Ivoire,11.8
Croatia,1.1
Cuba,4.8
Cyprus,1.2
Czechia,0.7
Democratic People's Republic of Korea,4.4
Democratic Republic of the Congo,13
Denmark,1.1
Djibouti,6.8
Dominican Republic,16
Ecuador,6.4
Egypt,3.8
El Salvador,82.3
Equatorial Guinea,3.3
Eritrea,11.5
Estonia,2.5
Eswatini,18.1
Ethiopia,7.5
Fiji,2.3
Finland,1.2
France,1.3
Gabon,8.6
Gambia,8.5
Georgia,2.3
Germany,1
Ghana,5.9
Greece,0.8
Grenada,7.4
Guatemala,24.7
Guinea,9.1
Guinea-Bissau,9.4
Guyana,18.6
Haiti,19.9
Honduras,57.8
Hungary,1.5
Iceland,1.4
India,3.9
Indonesia,4.5
Iran (Islamic Republic of),3.2
Iraq,15.8
Ireland,0.9
Israel,1.5
Italy,0.7
Jamaica,57.4
Japan,0.2
Jordan,2.8
Kazakhstan,6
Kenya,5.6
Kiribati,4.8
Kuwait,1.8
Kyrgyzstan,4.1
Lao People's Democratic Republic,6.8
Latvia,5.9
Lebanon,4.1
Lesotho,46.2
Liberia,10
Libya,2.4
Lithuania,5.1
Luxembourg,0.6
Madagascar,6.9
Malawi,2.8
Malaysia,2.7
Maldives,1.9
Mali,11
Malta,0.9
Mauritania,11.2
Mauritius,3.3
Mexico,25.7
Micronesia (Federated States of),4.6
Mongolia,7.1
Montenegro,2.1
Morocco,2.1
Mozambique,4.2
Myanmar,4
Namibia,18.4
Nepal,2.6
Netherlands,0.8
New Zealand,1.1
Nicaragua,9.4
Niger,10
Nigeria,9.6
Norway,0.6
"occupied Palestinian territory, including east Jerusalem",6.9
Oman,0.6
Pakistan,5.2
Panama,14.3
Papua New Guinea,10.9
Paraguay,9.1
Peru,9.1
Philippines,14.3
Poland,0.9
Portugal,0.9
Qatar,0.4
Republic of Korea,0.7
Republic of Moldova,3.4
North Macedonia,1.5
Romania,1.4
Russian Federation,9.1
Rwanda,4.5
Saint Lucia,23.3
Saint Vincent and the Grenadines,28.3
Samoa,3.2
Sao Tome and Principe,6.7
Saudi Arabia,1.5
Senegal,7.9
Serbia,1.8
Seychelles,13.8
Sierra Leone,7.5
Singapore,0.3
Slovakia,1.3
Slovenia,1
Solomon Islands,4.1
Somalia,5.5
South Africa,39.7
South Sudan,15.9
Spain,0.7
Sri Lanka,2.8
Sudan,6
Suriname,6.9
Sweden,1.1
Switzerland,0.6
Syrian Arab Republic,2.6
Tajikistan,2.1
Thailand,4.1
Timor-Leste,4.7
Togo,9.2
Tonga,3.5
Trinidad and Tobago,36.2
Tunisia,3.3
Turkey,5
Turkmenistan,4.1
Uganda,13.2
Ukraine,7.1
United Arab Emirates,0.7
United Kingdom of Great Britain and Northern Ireland,1.5
United Republic of Tanzania,8.1
United States of America,6.3
Uruguay,8.1
Uzbekistan,1.7
Vanuatu,2.3
Venezuela (Bolivarian Republic of),62
Viet Nam,1.7
Yemen,9.5
Zambia,6.3
Zimbabwe,12.9
